,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,furnished,semi-furnished,unfurnished
1,1.0,0.4580246913580247,4,2,3,1,0,0,0,1,2,1,0,0
2,0.9210526315789473,0.5530864197530864,4,4,4,1,0,0,0,1,3,1,0,0
3,0.9210526315789473,0.6148148148148148,3,2,2,1,0,1,0,0,2,0,1,0
4,0.9184210526315789,0.46296296296296297,4,2,2,1,0,1,0,1,3,1,0,0
5,0.8578947368421053,0.4580246913580247,4,1,2,1,1,1,0,1,2,1,0,0
6,0.8157894736842105,0.46296296296296297,3,3,1,1,0,1,0,1,2,0,1,0
7,0.7631578947368421,0.5296296296296297,4,3,4,1,0,0,0,1,2,0,1,0
8,0.7631578947368421,1.0,5,3,2,1,0,0,0,0,0,0,0,1
9,0.7421052631578947,0.5,4,1,2,1,1,1,0,1,2,1,0,0
10,0.7368421052631579,0.3549382716049383,3,2,4,1,1,0,0,1,1,0,0,1
11,0.7368421052631579,0.8148148148148148,3,1,2,1,0,1,0,1,2,1,0,0
12,0.7278947368421053,0.37037037037037035,4,3,2,1,1,1,1,0,2,0,1,0
13,0.7,0.404320987654321,4,2,2,1,0,0,0,1,1,0,1,0
14,0.6947368421052632,0.21604938271604937,4,2,2,1,0,0,1,0,2,1,0,0
15,0.6947368421052632,0.48148148148148145,3,2,2,1,0,0,0,0,0,0,1,0
16,0.6842105263157895,0.37037037037037035,4,1,2,1,0,1,0,0,2,0,1,0
17,0.6842105263157895,0.4074074074074074,4,2,2,1,1,1,0,1,1,0,0,1
18,0.6736842105263158,0.5246913580246914,3,2,4,1,0,0,0,1,2,1,0,0
19,0.6684210526315789,0.2839506172839506,3,2,2,1,1,0,0,1,2,1,0,0
20,0.6657894736842105,0.3962962962962963,3,2,2,1,0,0,0,1,1,0,1,0
21,0.6578947368421053,0.26666666666666666,3,1,2,1,0,1,1,0,2,0,1,0
22,0.6526315789473685,0.44166666666666665,3,2,1,1,1,1,0,1,2,0,0,1
23,0.65,0.49691358024691357,3,1,1,1,1,1,0,1,1,1,0,0
24,0.65,0.2814814814814815,3,2,2,1,1,1,0,1,1,1,0,0
25,0.6447368421052632,0.5432098765432098,3,2,2,1,0,0,0,1,2,1,0,0
26,0.6421052631578947,0.40370370370370373,4,2,2,1,1,1,0,1,2,1,0,0
27,0.6363157894736842,0.37037037037037035,3,2,4,1,1,1,0,1,0,0,1,0
28,0.631578947368421,0.5478395061728395,3,1,1,1,0,0,0,0,1,0,1,0
29,0.631578947368421,0.49074074074074076,5,2,2,1,0,1,1,0,2,0,0,1
30,0.631578947368421,0.3395061728395062,4,2,2,1,0,1,0,1,1,0,1,0
31,0.631578947368421,0.46141975308641975,3,2,4,1,0,0,0,1,2,0,0,1
32,0.631578947368421,0.43209876543209874,3,1,4,1,0,0,0,1,2,0,1,0
33,0.6236842105263158,0.3012345679012346,4,2,2,1,0,0,0,1,1,1,0,0
34,0.6157894736842106,0.36790123456790125,3,3,2,1,1,1,0,0,1,0,0,1
35,0.6105263157894737,0.4222222222222222,5,1,2,1,1,1,0,1,1,1,0,0
36,0.6075894736842106,0.43209876543209874,3,2,4,1,0,0,0,1,2,1,0,0
37,0.6047368421052631,0.46185185185185185,3,2,3,1,0,0,1,0,1,1,0,0
38,0.6,0.5555555555555556,4,2,4,1,0,0,0,1,2,1,0,0
39,0.5986842105263158,0.37037037037037035,3,1,4,1,1,0,0,1,2,0,0,1
40,0.5947368421052631,0.37037037037037035,4,2,4,1,0,0,0,1,1,0,1,0
41,0.5921052631578947,0.404320987654321,3,1,2,1,0,1,0,1,0,1,0,0
42,0.5894736842105263,0.3925925925925926,3,2,4,1,0,0,0,1,0,1,0,0
43,0.5789473684210527,0.4,3,2,4,1,0,0,0,1,2,0,0,1
44,0.5789473684210527,0.37037037037037035,4,2,4,1,0,0,0,0,2,0,1,0
45,0.5684210526315789,0.37037037037037035,4,2,4,1,0,0,0,1,1,1,0,0
46,0.5684210526315789,0.37037037037037035,3,2,3,1,0,0,0,1,0,0,1,0
47,0.5657894736842105,0.37037037037037035,3,2,4,1,0,0,0,1,1,1,0,0
48,0.5631578947368421,0.4074074074074074,3,1,4,1,0,0,0,1,3,1,0,0
49,0.5605263157894737,0.2654320987654321,3,2,2,1,0,1,0,0,1,0,0,1
50,0.5578947368421052,0.45925925925925926,3,2,1,1,1,1,0,1,0,0,1,0
51,0.5578947368421052,0.45925925925925926,3,2,4,1,0,0,0,0,1,0,0,1
52,0.5578947368421052,0.3904320987654321,3,1,4,1,0,0,0,1,1,0,0,1
53,0.5526315789473685,0.37037037037037035,4,2,4,1,1,0,0,1,1,1,0,0
54,0.5526315789473685,0.31790123456790126,3,2,4,1,0,0,0,1,2,0,1,0
55,0.5526315789473685,0.37037037037037035,3,2,2,1,1,0,0,1,1,0,1,0
56,0.5526315789473685,0.37037037037037035,3,1,2,1,0,0,0,1,1,0,0,1
57,0.5521052631578948,0.7061728395061728,4,1,2,1,0,1,0,0,1,0,1,0
58,0.5447368421052632,0.5555555555555556,4,2,4,1,1,0,0,1,1,1,0,0
59,0.5421052631578948,0.4740740740740741,4,2,4,1,1,0,0,1,1,0,1,0
60,0.5421052631578948,0.37037037037037035,3,2,4,1,1,0,0,1,1,1,0,0
61,0.5368421052631579,0.37037037037037035,3,2,2,1,1,0,0,0,1,0,1,0
62,0.531578947368421,0.5481481481481482,2,1,1,1,0,0,0,1,1,0,1,0
63,0.531578947368421,0.3851851851851852,4,2,2,1,0,0,0,1,1,1,0,0
64,0.5289473684210526,0.3925925925925926,4,2,3,1,0,0,0,1,2,1,0,0
65,0.5263157894736842,0.6898148148148148,3,1,1,1,0,1,0,1,1,1,0,0
66,0.5210526315789473,0.5481481481481482,3,2,2,1,0,1,0,1,1,1,0,0
67,0.5210526315789473,0.8148148148148148,2,1,1,1,0,1,1,0,1,1,0,0
68,0.5184210526315789,0.47530864197530864,3,2,1,1,0,0,0,0,2,0,0,1
69,0.5157894736842106,0.37037037037037035,3,1,1,1,0,0,0,1,1,1,0,0
70,0.5105263157894737,0.7462962962962963,4,2,2,1,0,0,0,0,2,1,0,0
71,0.5105263157894737,0.24691358024691357,3,2,2,1,0,1,0,1,0,0,1,0
72,0.5078947368421053,0.37037037037037035,4,2,4,1,0,0,0,1,0,0,0,1
73,0.5052631578947369,0.30987654320987656,3,1,4,1,0,0,0,1,0,0,0,1
74,0.5026315789473684,0.4074074074074074,2,2,4,1,0,1,0,0,0,1,0,0
75,0.5,0.24938271604938272,3,1,2,1,0,1,1,0,1,1,0,0
76,0.5,0.26296296296296295,4,2,2,1,0,0,1,0,0,0,1,0
77,0.5,0.3962962962962963,3,2,3,1,0,0,0,1,0,1,0,0
78,0.5,0.4012345679012346,3,2,3,1,0,0,0,1,0,1,0,0
